AFGHANISTAN,99228886
ALBANIA,679270
ALGERIA,321931943
ANDORRA,54195
ANGOLA,73700
ANGUILLA,1850
ANTIGUA,354059
ARGENTINA,55563002
ARMENIA,498921
ARUBA,33132
AUSTRALIA,1198157050
AUSTRIA,18644315
AZERBAIJAN,1032094
BAHAMAS,289904
BAHRAIN,52051224
BANGLADESH,27327494
BARBADOS,489159
BELGIUM,110406014
BELIZE,314621
BERMUDA,3073021
BOLIVIA,10894496
BOSNIA HERZEGOVINA,565299
BOTSWANA,4194532
BRAZIL,53695913
BRITISH VIRGIN ISLANDS,6100
BRUNEI,4234344
BULGARIA,10894617
BURUNDI,73600
CAMBODIA,100
CAMEROON,2485883
CANADA,1673117487
CAYMAN ISLANDS,36733
CENTRAL AFRICAN REPUBLIC,5600000
CHAD,674
CHILE,83011980
COLOMBIA,277448583
COSTA RICA,22303458
CROATIA,4285815
CUBA,2250
CYPRUS,102616
CZECH REPUBLIC,7498254
DENMARK,166354000
DJIBOUTI,872082
DOMINICA,67705
DOMINICAN REPUBLIC,34361962
ECUADOR,17692163
EGYPT,70877605
EL SALVADOR,1280164
ESTONIA,1264276
ETHIOPIA,1468301
FINLAND,20887798
FRANCE,184370693
FRENCH GUIANA,598888
FRENCH POLYNESIA,11408
GABON,170
GAMBIA,61549
GEORGIA,4478178
GERMANY,787305543
GHANA,73600
GREECE,680487232
GREENLAND,1162748
GRENADA,90240
GUATEMALA,696433
GUINEA,100000
GUYANA,59073
HAITI,13109
HONDURAS,1083378
HONG KONG,3352183
HUNGARY,1678122
ICELAND,355663
INDIA,140460007
INDONESIA,114921239
IRAQ,275280313
IRELAND,11204287
ISRAEL,773942437
ITALY,913049821
JAMAICA,2038353
JAPAN,3305970280
JORDAN,64746034
KAZAKHSTAN,3122557
KENYA,5767842
KUWAIT,112787810
KYRGYZSTAN,77800
LATVIA,2761385
LEBANON,6637430
LIBERIA,10515
LIBYA,3500100
LIECHTENSTEIN,6110
LITHUANIA,716232
LUXEMBOURG,90155895
MACEDONIA,1851763
MADAGASCAR,500
MALAYSIA,37922095
MALI,73600
MALTA,89662
MARSHALL ISLANDS,200
MAURITANIA,4820
MAURITIUS,664
MEXICO,393698671
MOLDOVA,498921
MONGOLIA,1800
MONTSERRAT,4998
MOROCCO,37486259
NAMIBIA,51201
NEPAL,525000
NETHERLANDS,253106396
NETHERLANDS ANTILLES,421165
NEW CALEDONIA,508211
NEW ZEALAND,183176602
NICARAGUA,1086072
NIGER,747751
NIGERIA,34095025
NORFOLK ISLAND,308
NORWAY,187814830
OMAN,18092823
PAKISTAN,121381110
PANAMA,1505889
PAPUA NEW GUINEA,1582220
PARAGUAY,928674
PERU,63667565
PHILIPPINES,21024883
POLAND,77112111
PORTUGAL,20536762
QATAR,48484411
ROMANIA,31831768
RUSSIA,12458202
RWANDA,170098
SAUDI ARABIA,163285846
SENEGAL,186100
SERBIA,260780
SIERRA LEONE,39490
SINGAPORE,850783803
SLOVAKIA,1863400
SLOVENIA,1661428
SOUTH AFRICA,99903284
SOUTH KOREA,965058481
SPAIN,348899182
SRI LANKA,3855371
SAINT KITTS AND NEVIS,18011223
SAINT LUCIA,111600
SAINT VINCENT,16941
SURINAME,79407
SVALBARD AND JAN MAYEN,10000
SWEDEN,177485078
SWITZERLAND,107648744
TAIWAN,5322304
TAJIKISTAN,661637
TANZANIA,132690
THAILAND,94789958
TOGO,73600
TONGA,20382
TRINIDAD AND TOBAGO,1717188
TUNISIA,6461422
TURKEY,948050147
TURKMENISTAN,73600
TURKS AND CAICOS ISLANDS,10606
UGANDA,182171
UKRAINE,5399323
UNITED ARAB EMIRATES,270297566
UNITED KINGDOM,1959306528
UNITED NATIONS,20500
URUGUAY,5114581
UZBEKISTAN,121100
VANUATU,13728
VARIOUS,341603591
VENEZUELA,8015000
YEMEN,12544374
ZAMBIA,105650
ZIMBABWE,73600
