AFGHANISTAN,63280033
ALGERIA,39500000
ARGENTINA,19683892
AUSTRALIA,2115377920
AUSTRIA,28978352
AZERBAIJAN,2600000
BAHRAIN,13100000
BELGIUM,176711000
BERMUDA,0
BOLIVIA,64760
BRAZIL,114996335
BRUNEI,16945906
BULGARIA,2300000
CANADA,6724199729
CHILE,58209251
COLOMBIA,25460000
COSTA RICA,23556400
CROATIA,400000
CZECH REPUBLIC,9100000
DENMARK,133220284
DOMINICAN REPUBLIC,100000
ECUADOR,0
EGYPT,136308267
ESTONIA,5100000
FINLAND,25895767
FRANCE,478710362
GERMANY,1238236960
GREECE,206957207
GUATEMALA,5500000
HONG KONG,2650660
HUNGARY,8158000
ICELAND,5563000
INDIA,312480132
INDONESIA,21500000
IRAQ,232969127
IRELAND,72303225
ISRAEL,2384079896
ITALY,1795559795
JAMAICA,100000
JAPAN,9867589002
JORDAN,10390930
KAZAKHSTAN,33000000
KENYA,100000
KUWAIT,14330508
LATVIA,4200000
LITHUANIA,2000000
LUXEMBOURG,95450000
MACEDONIA,150000
MALAYSIA,25319182
MEXICO,671123512
MOROCCO,10000
NEPAL,200000
NETHERLANDS,581174512
NETHERLANDS ANTILLES,23611736
NEW ZEALAND,45811000
NICARAGUA,34829
NORWAY,234570377
OMAN,6574270
PAKISTAN,12300000
PERU,4700000
PHILIPPINES,0
POLAND,205609150
PORTUGAL,37112000
QATAR,1000000
ROMANIA,12350000
RUSSIA,23546492
SAUDI ARABIA,238710172
SINGAPORE,4304885019
SLOVAKIA,62000000
SLOVENIA,10000000
SOUTH AFRICA,9924000
SOUTH KOREA,2066208302
SPAIN,556026784
SRI LANKA,5000000
SWEDEN,189205296
SWITZERLAND,103280807
TANZANIA,178923
THAILAND,55505352
TRINIDAD AND TOBAGO,11500
TUNISIA,121287
TURKEY,1172495149
UKRAINE,833290
UNITED ARAB EMIRATES,179814706
VIETNAM,250000
